threshold,auto_handled_share,error_rate_when_auto_handled
0.3,0.9772819199137117,0.06960060702214252
0.35,0.9685182688418498,0.0630611818751305
0.4,0.9572603478495348,0.05661971830985915
0.45,0.9407442362141027,0.049516302400573274
0.5,0.9201833625455036,0.043003663003663005
0.55,0.893487933126601,0.03772446054021428
0.6,0.8549278684104086,0.0325658413499448
0.65,0.8017392476742619,0.027915580593626504
0.7,0.7305514358905217,0.022700009227646027
0.75,0.6413644330591883,0.017132646626024806
0.8,0.5349197788863422,0.013232514177693762
0.85,0.4017796952945935,0.008221476510067114
0.9,0.25697721450721317,0.005508919202518363
0.95,0.10779290818390184,0.0025015634771732333
